epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.725,1.13693,2.24424,1.25101,0.9281,0.9278,0.94987,0.71267,0.86738,1.17874,1.04254,0.00331944,0.00331944,0.00331944
2,216.701,1.09834,1.24248,1.19053,0.92884,0.90413,0.95341,0.69785,0.93283,0.83398,1.09738,0.00659789,0.00659789,0.00659789
3,318.803,1.18335,1.06188,1.24489,0.89274,0.83073,0.90941,0.62511,1.10516,1.49322,1.26652,0.00982134,0.00982134,0.00982134
4,418.818,1.22764,1.01427,1.29193,0.91349,0.88802,0.94794,0.69279,0.97112,0.70905,1.13995,0.0097525,0.0097525,0.0097525
5,517.653,1.18322,0.92928,1.27323,0.95869,0.96042,0.98655,0.75953,0.85227,0.56384,1.1116,0.00967,0.00967,0.00967
6,616.481,1.10734,0.81648,1.23265,0.97748,0.97201,0.99225,0.78794,0.80878,0.49628,1.05026,0.0095875,0.0095875,0.0095875
7,715.676,1.08069,0.76624,1.22397,0.96262,0.9776,0.99231,0.78566,0.77742,0.50569,1.0286,0.009505,0.009505,0.009505
8,812.2,1.04336,0.7416,1.19738,0.97993,0.97656,0.99285,0.81835,0.73511,0.45042,1.00722,0.0094225,0.0094225,0.0094225
9,908.486,1.02477,0.71063,1.18959,0.9871,0.98542,0.99457,0.82733,0.70627,0.40967,0.9811,0.00934,0.00934,0.00934
10,1005.31,0.9701,0.66489,1.16419,0.98887,0.97179,0.99405,0.8445,0.67948,0.40859,0.98554,0.0092575,0.0092575,0.0092575
11,1100.23,0.97573,0.65897,1.16433,0.97626,0.9854,0.99375,0.83318,0.69465,0.41879,0.98042,0.009175,0.009175,0.009175
12,1193.32,0.9791,0.66758,1.16395,0.99043,0.9901,0.99475,0.83633,0.68622,0.39161,0.96781,0.0090925,0.0090925,0.0090925
